agent,timestep,mean,variance,std_dev,q1,q3,median,mad
0,252,0.11352923567357816,0.09220263720845084,0.30364887157447307,0.0021817803382873533,0.033415140211582185,0.00765952467918396,0.006940907239913941
0,253,0.11146388682618476,0.0887322987327975,0.2978796715668887,0.0025710716843605043,0.03549773991107941,0.009841042757034301,0.008948361873626708
0,254,0.10950630056230647,0.08772971491263384,0.2961920237154165,0.003062582015991211,0.03877041935920715,0.009989729523658753,0.009220889210700989
0,255,0.10747233698504012,0.08679670975087105,0.2946128132835893,0.0029835224151611326,0.03971508741378784,0.009886765480041504,0.009122619777917862
0,256,0.10122102306861626,0.08412251254045074,0.290038812127706,0.0029553771018981934,0.037009382247924806,0.00983498990535736,0.009076091647148132
0,257,0.10000742676534823,0.08518806621490096,0.2918699474336146,0.0028921633958816527,0.03854043334722519,0.01062602549791336,0.009742970019578932
0,258,0.09692282176443509,0.08517946150697527,0.29185520640717594,0.0025604456663131715,0.039316998422145845,0.010075178742408753,0.00926952064037323
0,259,0.09564789858731357,0.08653970243922496,0.29417631182545095,0.002832457423210144,0.03586910888552666,0.009757453203201294,0.009009963274002076
0,260,0.09606973886213922,0.08771529699848123,0.2961676839199058,0.003008383512496948,0.03076313026249409,0.009512647241353988,0.008812104910612104
0,261,0.09472836181521416,0.08816248102206395,0.2969216748943464,0.002581661194562912,0.028580968268215656,0.010810932517051695,0.009808617830276489
0,262,0.09431051523597152,0.08805763996133757,0.2967450757153985,0.0030693525448441507,0.030073710903525355,0.010407425835728644,0.009536333754658698
0,263,0.10070436574794626,0.08893357655351829,0.2982173310750371,0.0033731693401932716,0.03498363476246596,0.010129781812429427,0.009267091006040572
0,264,0.10675007103493918,0.09307426023767318,0.30508074380018346,0.003286442160606384,0.0391276091337204,0.010645977407693862,0.00979076698422432
0,265,0.11253025316686001,0.0997366367312914,0.3158110775943292,0.002061891555786133,0.04631409347057343,0.011321499943733215,0.010484734177589416
0,266,0.11373822766373741,0.10087242686315208,0.3176041984343911,0.002938354015350342,0.03871109187602997,0.011518684029579163,0.010682275891304016
0,267,0.11482777986324057,0.10147670318266602,0.31855408203736146,0.0024914190173149107,0.03629366159439087,0.010523302853107453,0.009689892828464509
0,268,0.10958278770997841,0.09487834283207454,0.30802328293827813,0.0020480751991271973,0.03545447438955307,0.010387729108333587,0.009560279548168182
0,269,0.10536606037672962,0.09111451162437567,0.30185180407672846,0.0020294904708862303,0.029400722682476045,0.011005093157291413,0.01012890487909317
0,270,0.10422229141278087,0.08955930448974314,0.2992646061426963,0.002962636947631836,0.036752144992351535,0.010655623674392701,0.009831559658050538
