cluster_id,agent_id,mean,std,var,q1,q3,count,cluster_size
13,2,0.028661095623792057,0.08049413407404003,0.006479305620329532,0.0014447718858718872,0.02442556945607066,2588,2588
14,0,0.030302234988511614,0.07992322039630949,0.006387721158517061,0.0017584040760993958,0.026146030984818935,2668,2668
14,1,0.02877123696754674,0.07684366854781366,0.005904949395886246,0.0015085116028785706,0.025724543258547783,2668,2668
14,2,0.025749000835349724,0.07304128160869715,0.005335028819040999,0.0012780167162418365,0.024280112702399492,2668,2668
15,0,0.03186730577871986,0.0900925672411532,0.008116670672101712,0.0012645870447158813,0.02442442812025547,1905,1905
15,1,0.02420658983163086,0.0717243900751647,0.005144388131654385,0.0012247487902641296,0.024479767307639122,1905,1905
15,2,0.029384749958638757,0.0783731186372178,0.006142345724923415,0.0017331987619400024,0.026037296280264854,1905,1905
16,0,0.02801619051724853,0.07362685050445807,0.005420913115205817,0.001706138253211975,0.024083247408270836,2393,2393
16,1,0.02305136804344001,0.0646361965459953,0.004177837903932534,0.001492142677307129,0.025348130613565445,2393,2393
16,2,0.025568013268608927,0.07819863952966878,0.0061150272242910765,0.0012056231498718262,0.02393282763659954,2393,2393
17,0,0.023925246744244014,0.06803250700339616,0.004628422009167148,0.0014585182070732117,0.025429380126297474,2379,2379
17,1,0.02739834232226847,0.07993585657224697,0.006389741165938839,0.0013231933116912842,0.023670781403779984,2379,2379
17,2,0.02761685449399834,0.07541282489177435,0.005687094158157421,0.0013718456029891968,0.0261947400867939,2379,2379
18,0,0.023188516375967083,0.07109057772440722,0.005053870241189983,0.0011520758271217346,0.02269713068380952,2048,2048
18,1,0.022961480457524885,0.06568496369093976,0.0043145144550800745,0.0010059922933578491,0.0240460941568017,2048,2048
18,2,0.028058131799753028,0.07701586983188,0.0059314442059610825,0.0017424188554286957,0.02527609607204795,2048,2048
19,0,0.029969146610516258,0.08531835841332476,0.007279222282344545,0.0015007555484771729,0.02471692254766822,2574,2574
19,1,0.028798449027591558,0.08409619089290243,0.007072169322695487,0.00135716050863266,0.02486155042424798,2574,2574
